Series;Time;Value
1w;2019-05-24T00:01:00+05:30;null
1w;2019-05-24T00:02:00+05:30;null
1w;2019-05-24T00:03:00+05:30;null
1w;2019-05-24T00:04:00+05:30;null
1w;2019-05-24T00:05:00+05:30;96.2
1w;2019-05-24T00:06:00+05:30;99
1w;2019-05-24T00:07:00+05:30;96.4
1w;2019-05-24T00:08:00+05:30;96.4
1w;2019-05-24T00:09:00+05:30;96
1w;2019-05-24T00:10:00+05:30;94.2
1w;2019-05-24T00:11:00+05:30;91.6
1w;2019-05-24T00:12:00+05:30;94
1w;2019-05-24T00:13:00+05:30;96.2
1w;2019-05-24T00:14:00+05:30;95
1w;2019-05-24T00:15:00+05:30;95.8
1w;2019-05-24T00:16:00+05:30;96.8
1w;2019-05-24T00:17:00+05:30;95.2
1w;2019-05-24T00:18:00+05:30;88.2
1w;2019-05-24T00:19:00+05:30;90.8
1w;2019-05-24T00:20:00+05:30;90.4
1w;2019-05-24T00:21:00+05:30;91.8
1w;2019-05-24T00:22:00+05:30;91.8
1w;2019-05-24T00:23:00+05:30;92.8
1w;2019-05-24T00:24:00+05:30;93.4
1w;2019-05-24T00:25:00+05:30;96.6
1w;2019-05-24T00:26:00+05:30;97.6
1w;2019-05-24T00:27:00+05:30;98
1w;2019-05-24T00:28:00+05:30;103.4
1w;2019-05-24T00:29:00+05:30;104.4
1w;2019-05-24T00:30:00+05:30;104.8
1w;2019-05-24T00:31:00+05:30;104.6
1w;2019-05-24T00:32:00+05:30;104.4
1w;2019-05-24T00:33:00+05:30;98.4
1w;2019-05-24T00:34:00+05:30;95
1w;2019-05-24T00:35:00+05:30;96.8
1w;2019-05-24T00:36:00+05:30;97.6
1w;2019-05-24T00:37:00+05:30;100.4
1w;2019-05-24T00:38:00+05:30;107.6
1w;2019-05-24T00:39:00+05:30;104.8
1w;2019-05-24T00:40:00+05:30;102.4
1w;2019-05-24T00:41:00+05:30;102.6
1w;2019-05-24T00:42:00+05:30;104.6
1w;2019-05-24T00:43:00+05:30;99.8
1w;2019-05-24T00:44:00+05:30;103.2
1w;2019-05-24T00:45:00+05:30;100.8
1w;2019-05-24T00:46:00+05:30;103
1w;2019-05-24T00:47:00+05:30;101.2
1w;2019-05-24T00:48:00+05:30;101.6
1w;2019-05-24T00:49:00+05:30;105.4
1w;2019-05-24T00:50:00+05:30;107
1w;2019-05-24T00:51:00+05:30;104
1w;2019-05-24T00:52:00+05:30;106.4
1w;2019-05-24T00:53:00+05:30;109.8
1w;2019-05-24T00:54:00+05:30;109
1w;2019-05-24T00:55:00+05:30;107
1w;2019-05-24T00:56:00+05:30;111.2
1w;2019-05-24T00:57:00+05:30;106.4
1w;2019-05-24T00:58:00+05:30;104.6
