,Time,Value,Series
0,2019-07-15 00:00:00,3.3,predicted
1,2019-07-15 00:01:00,3.49,predicted
2,2019-07-15 00:02:00,2.48,predicted
3,2019-07-15 00:03:00,3.46,predicted
4,2019-07-15 00:04:00,2.11,predicted
5,2019-07-15 00:05:00,2.31,predicted
6,2019-07-15 00:06:00,2.24,predicted
7,2019-07-15 00:07:00,4.57,predicted
8,2019-07-15 00:08:00,5.54,predicted
9,2019-07-15 00:09:00,3.13,predicted
10,2019-07-15 00:10:00,3.37,predicted
11,2019-07-15 00:11:00,3.1,predicted
12,2019-07-15 00:12:00,3.26,predicted
13,2019-07-15 00:13:00,4.84,predicted
14,2019-07-15 00:14:00,2.78,predicted
15,2019-07-15 00:15:00,4.51,predicted
16,2019-07-15 00:16:00,2.73,predicted
17,2019-07-15 00:17:00,5.42,predicted
18,2019-07-15 00:18:00,4.12,predicted
19,2019-07-15 00:19:00,3.68,predicted
20,2019-07-15 00:20:00,2.18,predicted
21,2019-07-15 00:21:00,4.94,predicted
22,2019-07-15 00:22:00,2.05,predicted
23,2019-07-15 00:23:00,2.29,predicted
24,2019-07-15 00:24:00,2.21,predicted
25,2019-07-15 00:25:00,4.43,predicted
26,2019-07-15 00:26:00,5.16,predicted
27,2019-07-15 00:27:00,3.01,predicted
28,2019-07-15 00:28:00,4.91,predicted
29,2019-07-15 00:29:00,5.54,predicted
30,2019-07-15 00:30:00,2.25,predicted
31,2019-07-15 00:31:00,3.85,predicted
32,2019-07-15 00:32:00,3.75,predicted
33,2019-07-15 00:33:00,3.37,predicted
34,2019-07-15 00:34:00,4.64,predicted
35,2019-07-15 00:35:00,4.51,predicted
36,2019-07-15 00:36:00,5.46,predicted
37,2019-07-15 00:37:00,5.49,predicted
38,2019-07-15 00:38:00,3.46,predicted
39,2019-07-15 00:39:00,3.23,predicted
40,2019-07-15 00:40:00,5.7,predicted
41,2019-07-15 00:41:00,5.15,predicted
42,2019-07-15 00:42:00,3.58,predicted
43,2019-07-15 00:43:00,4.41,predicted
44,2019-07-15 00:44:00,2.04,predicted
45,2019-07-15 00:45:00,3.65,predicted
46,2019-07-15 00:46:00,5.83,predicted
47,2019-07-15 00:47:00,4.8,predicted
48,2019-07-15 00:48:00,5.78,predicted
49,2019-07-15 00:49:00,4.77,predicted
50,2019-07-15 00:50:00,5.58,predicted
51,2019-07-15 00:51:00,3.6,predicted
52,2019-07-15 00:52:00,4.61,predicted
53,2019-07-15 00:53:00,3.31,predicted
54,2019-07-15 00:54:00,4.03,predicted
55,2019-07-15 00:55:00,3.13,predicted
56,2019-07-15 00:56:00,3.28,predicted
57,2019-07-15 00:57:00,4.19,predicted
58,2019-07-15 00:58:00,2.34,predicted
59,2019-07-15 00:59:00,5.44,predicted
60,2019-07-15 01:00:00,5.53,predicted
61,2019-07-15 01:01:00,2.31,predicted
62,2019-07-15 01:02:00,4.11,predicted
63,2019-07-15 01:03:00,3.78,predicted
64,2019-07-15 01:04:00,2.68,predicted
65,2019-07-15 01:05:00,5.69,predicted
66,2019-07-15 01:06:00,2.87,predicted
67,2019-07-15 01:07:00,3.88,predicted
68,2019-07-15 01:08:00,4.28,predicted
69,2019-07-15 01:09:00,5.73,predicted
70,2019-07-15 01:10:00,4.62,predicted
71,2019-07-15 01:11:00,5.73,predicted
72,2019-07-15 01:12:00,2.7,predicted
73,2019-07-15 01:13:00,3.08,predicted
74,2019-07-15 01:14:00,3.3,predicted
75,2019-07-15 01:15:00,5.44,predicted
76,2019-07-15 01:16:00,5.65,predicted
77,2019-07-15 01:17:00,4.67,predicted
78,2019-07-15 01:18:00,3.29,predicted
79,2019-07-15 01:19:00,5.19,predicted
80,2019-07-15 01:20:00,4.38,predicted
81,2019-07-15 01:21:00,4.38,predicted
82,2019-07-15 01:22:00,5.4,predicted
83,2019-07-15 01:23:00,5.41,predicted
84,2019-07-15 01:24:00,5.4,predicted
85,2019-07-15 01:25:00,4.43,predicted
86,2019-07-15 01:26:00,3.69,predicted
87,2019-07-15 01:27:00,2.2,predicted
88,2019-07-15 01:28:00,3.41,predicted
89,2019-07-15 01:29:00,5.37,predicted
90,2019-07-15 01:30:00,4.88,predicted
91,2019-07-15 01:31:00,4.06,predicted
92,2019-07-15 01:32:00,4.04,predicted
93,2019-07-15 01:33:00,2.21,predicted
94,2019-07-15 01:34:00,2.31,predicted
95,2019-07-15 01:35:00,2.39,predicted
96,2019-07-15 01:36:00,5.18,predicted
97,2019-07-15 01:37:00,3.23,predicted
98,2019-07-15 01:38:00,5.19,predicted
99,2019-07-15 01:39:00,3.32,predicted
100,2019-07-15 01:40:00,5.88,predicted
101,2019-07-15 01:41:00,5.51,predicted
102,2019-07-15 01:42:00,5.54,predicted
103,2019-07-15 01:43:00,4.99,predicted
104,2019-07-15 01:44:00,3.43,predicted
105,2019-07-15 01:45:00,3.31,predicted
106,2019-07-15 01:46:00,3.68,predicted
107,2019-07-15 01:47:00,5.6,predicted
108,2019-07-15 01:48:00,3.32,predicted
109,2019-07-15 01:49:00,3.32,predicted
110,2019-07-15 01:50:00,4.79,predicted
111,2019-07-15 01:51:00,4.25,predicted
112,2019-07-15 01:52:00,2.6,predicted
113,2019-07-15 01:53:00,3.12,predicted
114,2019-07-15 01:54:00,3.82,predicted
115,2019-07-15 01:55:00,3.73,predicted
116,2019-07-15 01:56:00,2.73,predicted
117,2019-07-15 01:57:00,5.61,predicted
118,2019-07-15 01:58:00,3.55,predicted
119,2019-07-15 01:59:00,3.7,predicted
120,2019-07-15 02:00:00,2.57,predicted
121,2019-07-15 02:01:00,2.02,predicted
122,2019-07-15 02:02:00,5.74,predicted
123,2019-07-15 02:03:00,5.45,predicted
124,2019-07-15 02:04:00,4.67,predicted
125,2019-07-15 02:05:00,5.31,predicted
126,2019-07-15 02:06:00,2.74,predicted
127,2019-07-15 02:07:00,4.08,predicted
128,2019-07-15 02:08:00,4.08,predicted
129,2019-07-15 02:09:00,2.45,predicted
130,2019-07-15 02:10:00,5.47,predicted
131,2019-07-15 02:11:00,3.08,predicted
132,2019-07-15 02:12:00,2.98,predicted
133,2019-07-15 02:13:00,5.16,predicted
134,2019-07-15 02:14:00,3.5,predicted
135,2019-07-15 02:15:00,3.54,predicted
136,2019-07-15 02:16:00,5.57,predicted
137,2019-07-15 02:17:00,5.22,predicted
138,2019-07-15 02:18:00,3.95,predicted
139,2019-07-15 02:19:00,3.69,predicted
140,2019-07-15 02:20:00,5.13,predicted
141,2019-07-15 02:21:00,2.29,predicted
142,2019-07-15 02:22:00,3.68,predicted
143,2019-07-15 02:23:00,4.43,predicted
144,2019-07-15 02:24:00,4.12,predicted
145,2019-07-15 02:25:00,2.11,predicted
146,2019-07-15 02:26:00,4.72,predicted
147,2019-07-15 02:27:00,5.62,predicted
148,2019-07-15 02:28:00,2.08,predicted
149,2019-07-15 02:29:00,3.87,predicted
150,2019-07-15 02:30:00,3.83,predicted
151,2019-07-15 02:31:00,5.31,predicted
152,2019-07-15 02:32:00,5.84,predicted
153,2019-07-15 02:33:00,4.99,predicted
154,2019-07-15 02:34:00,5.09,predicted
155,2019-07-15 02:35:00,2.57,predicted
156,2019-07-15 02:36:00,5.85,predicted
157,2019-07-15 02:37:00,4.25,predicted
158,2019-07-15 02:38:00,4.08,predicted
159,2019-07-15 02:39:00,5.67,predicted
160,2019-07-15 02:40:00,2.67,predicted
161,2019-07-15 02:41:00,2.64,predicted
162,2019-07-15 02:42:00,3.42,predicted
163,2019-07-15 02:43:00,4.18,predicted
164,2019-07-15 02:44:00,4.36,predicted
165,2019-07-15 02:45:00,3.39,predicted
166,2019-07-15 02:46:00,4.63,predicted
167,2019-07-15 02:47:00,5.87,predicted
168,2019-07-15 02:48:00,4.53,predicted
169,2019-07-15 02:49:00,3.93,predicted
170,2019-07-15 02:50:00,5.92,predicted
171,2019-07-15 02:51:00,2.13,predicted
172,2019-07-15 02:52:00,2.08,predicted
173,2019-07-15 02:53:00,4.65,predicted
174,2019-07-15 02:54:00,5.97,predicted
175,2019-07-15 02:55:00,2.83,predicted
176,2019-07-15 02:56:00,2.86,predicted
177,2019-07-15 02:57:00,4.13,predicted
178,2019-07-15 02:58:00,4.44,predicted
179,2019-07-15 02:59:00,4.0,predicted
180,2019-07-15 03:00:00,2.17,predicted
181,2019-07-15 03:01:00,4.52,predicted
182,2019-07-15 03:02:00,3.81,predicted
